"",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-0.000848,-0.000003,-4.884413e-07,-4.460143e-07,-4.167025e-07,-3.194687e-07,-3.636688e-07,-5.015324e-07,-3.132836e-07,-1.747288e-07,-1.650547e-07,-8.386282e-08,-3.790445e-07,-2.246069e-07,-3.733169e-07,-5.881435e-08,-0.000026,-0.000057,-0.000029,-0.000046,-0.000025,-0.000015,-0.000030,-0.000053,-0.000004,-0.000002,-0.000008,-0.000010,0.000011,-0.000065,0.000732,-0.000061,-0.000052,-0.000023,0.000007,-0.000007,0.000006,0.000003,-0.000020,-0.000034,-0.000002,-0.000033,-0.000019,-0.000009,-0.000021,-0.000010,0.000009,0.000049,0.000049,0.000026,0.000035,-0.000146,-0.000408,-0.000112,-0.000016,0.000064,0.000015,0.000039,0.000126,0.000096,0.000081,0.000053,0.000043,0.000003,-0.000021,0.000004,-4.564158e-07,0.000006,0.000010,-0.000003,-0.000013,0.000002,0.000006,0.000034,0.000003,-0.000014,0.000014,0.000003,0.000012,0.000017,0.000015,3.793654e-07,2.805193e-07,-8.282631e-07,0.000012,-0.000004,0.000011,-0.000001,0.000003,0.000051,0.025255,-1.269584e-07,1.363846e-10,2.197730e-07,6.245594e-08,-2.635787e-08,3.344818e-04,0.003836,0.006795,0.016387
1,-0.008591,-0.000045,-1.863200e-07,2.316627e-07,1.832566e-07,-1.364509e-07,2.132539e-07,3.750926e-07,2.047290e-07,1.066228e-07,2.888168e-08,-5.211193e-07,6.821567e-07,-5.236358e-07,4.391040e-07,5.438499e-07,0.000231,0.000741,0.000735,0.000497,0.000016,0.000210,0.000326,0.000071,0.000353,0.000442,0.000083,-0.000442,0.000131,0.000217,-0.010099,0.000347,-0.000661,-0.000193,-0.000898,-0.000381,-0.000527,-0.000753,-0.000300,-0.000620,-0.000445,-0.000265,-0.000250,-0.000287,-0.000193,-0.000379,-0.000407,-0.000488,-0.000374,-0.000656,0.000100,0.000843,0.013474,-0.000660,-0.000386,0.000730,0.000232,0.000362,0.000421,0.000138,0.000550,0.000494,0.000153,0.000151,0.000094,-0.000148,-1.130197e-03,-0.002349,-0.000458,-0.000249,-0.000250,-0.000159,0.000085,-0.000047,-0.000048,-0.000017,0.000087,-0.000119,-0.000042,-0.000115,-0.000186,-1.253602e-04,1.122804e-04,4.367038e-06,0.000170,0.000231,0.000092,0.000259,0.000268,0.000095,-0.024250,1.319314e-07,2.373731e-07,3.359375e-07,5.002936e-08,-2.536754e-07,-8.698492e-05,-0.000066,0.001634,0.022850
2,-0.030500,-0.000187,-1.780370e-07,1.903113e-07,1.882203e-07,-1.342405e-07,1.526775e-07,2.942330e-07,1.573285e-07,1.116374e-07,1.225212e-07,-5.775332e-07,6.087701e-07,-4.905193e-07,3.775664e-07,1.059713e-06,0.000729,0.002462,0.002401,0.001799,-0.000037,0.000664,0.000995,-0.000019,0.000983,0.001314,0.000046,-0.001820,0.000252,0.000670,-0.040406,0.001003,-0.002727,-0.000760,-0.003493,-0.001460,-0.002045,-0.002798,-0.001203,-0.002273,-0.001674,-0.001015,-0.001001,-0.001083,-0.000735,-0.001283,-0.001410,-0.001688,-0.001276,-0.002201,0.000533,0.003049,0.048497,-0.002881,-0.001441,0.002659,0.000685,0.001272,0.001516,0.000490,0.002072,0.001792,0.000518,0.000463,0.000182,-0.000721,-4.210645e-03,-0.008581,-0.001668,-0.001004,-0.001071,-0.000705,0.000195,-0.000214,-0.000194,-0.000200,0.000275,-0.000451,-0.000247,-0.000453,-0.000679,-4.457806e-04,4.126905e-04,5.598380e-05,0.000549,0.000994,0.000409,0.000944,0.000997,0.000553,0.000016,9.550951e-08,2.034481e-07,3.067395e-07,-3.177291e-08,-3.076855e-07,-2.386003e-07,-0.000002,-0.000010,-0.000011
